method,global_track_id,experiment,year,n_points,start,end,duration,compared,near_count,min_nearest_km,mean_nearest_km,lat_min,lat_max,lon_min,lon_max,prob_mean
OWZ,OWZ_GGW_111_0141,GGW,111,31,928,958,31,31,19,319.5057628415411,1538.8167156966074,12.475486755371094,19.25679588317871,293.6944580078125,334.826171875,
OWZ,OWZ_GGW_104_0122,GGW,104,26,812,837,26,23,19,144.30389914236753,600.3439673680718,35.23272705078125,48.43205261230469,287.4799499511719,318.158935546875,
OWZ,OWZ_GGW_108_0229,GGW,108,26,1062,1087,26,24,19,318.0457438897544,812.1631845297853,11.648731231689451,17.956167221069336,286.3963623046875,323.778564453125,
OWZ,OWZ_GGW_117_0176,GGW,117,26,901,926,26,26,19,409.114552634826,755.7881335548742,12.340770721435549,24.79582977294922,292.07666015625,333.6185302734375,
OWZ,OWZ_GGW_107_0120,GGW,107,52,925,976,52,34,20,190.9069197859465,1104.1348648681592,15.112659454345703,23.89473342895508,276.3435974121094,344.0209350585937,
OWZ,OWZ_GGW_107_0145,GGW,107,32,1002,1033,32,23,20,284.09943363566754,756.3878672478862,14.229433059692385,32.43703079223633,295.6275939941406,319.122314453125,
OWZ,OWZ_CTL_48_0174,CTL,48,55,864,918,55,55,21,119.32710209202106,1354.4373950358263,17.956600189208984,30.486446380615234,287.342041015625,341.1107788085937,
OWZ,OWZ_GGW_103_0118,GGW,103,34,1000,1033,34,29,21,169.2105308062128,1057.4951133506684,16.105430603027344,23.700618743896484,279.5561828613281,319.07965087890625,
OWZ,OWZ_GGW_108_0214,GGW,108,24,1002,1025,24,24,21,276.33676625870385,593.0764442569165,18.043853759765625,27.46504211425781,318.76171875,340.3008728027344,
OWZ,OWZ_GGW_117_0206,GGW,117,44,1005,1048,44,44,22,184.90561659612513,1940.5056526765322,22.00020980834961,31.372222900390625,265.0222473144531,283.9227600097656,
OWZ,OWZ_GGW_108_0197,GGW,108,41,942,982,41,38,22,254.3668620666964,1698.8608835307696,15.219669342041016,28.067943572998047,262.5499267578125,308.774169921875,
OWZ,OWZ_GGW_109_0185,GGW,109,35,939,973,35,35,22,293.7341094296037,2151.708072291589,12.330606460571287,27.68564224243164,298.70037841796875,350.2420654296875,
OWZ,OWZ_GGW_105_0138,GGW,105,34,868,901,34,32,22,222.57106370197215,1332.1969465538782,12.19411849975586,21.82014274597168,311.27520751953125,346.452392578125,
OWZ,OWZ_GGW_116_0125,GGW,116,29,769,797,29,27,22,245.59972584729775,1264.6296044883725,15.692667007446287,19.99608039855957,314.8910522460937,343.82281494140625,
OWZ,OWZ_GGW_108_0231,GGW,108,27,1065,1091,27,22,22,328.33177979127686,596.555704351113,14.19973087310791,20.712100982666016,311.0180969238281,346.407470703125,
OWZ,OWZ_GGW_116_0131,GGW,116,75,796,870,75,67,23,134.96021662822014,1960.714069671174,13.386320114135742,29.01405334472656,262.29205322265625,335.273193359375,
OWZ,OWZ_CTL_48_0232,CTL,48,48,1020,1067,48,48,23,380.50650160658137,945.8908004569676,13.67038345336914,37.253150939941406,293.6766052246094,325.27276611328125,
OWZ,OWZ_GGW_108_0218,GGW,108,31,1024,1054,31,31,23,97.11002161354186,951.478131125964,17.057777404785156,23.772274017333984,307.3416748046875,340.19976806640625,
OWZ,OWZ_GGW_101_0158,GGW,101,26,859,884,26,26,23,242.76296473179272,545.282169114417,12.452404975891112,22.103832244873047,288.1768798828125,321.9061889648437,
OWZ,OWZ_GGW_101_0163,GGW,101,31,876,906,31,31,24,35.62514452291643,1013.9231175434263,15.292312622070312,20.52206039428711,311.08843994140625,343.8500366210937,
OWZ,OWZ_GGW_104_0202,GGW,104,29,1053,1081,29,25,24,8.765748740735809,297.6599244292835,21.258514404296875,29.30172538757324,275.01983642578125,281.9326171875,
OWZ,OWZ_GGW_101_0145,GGW,101,28,836,863,28,28,24,133.93050401097025,786.1942708086839,27.29031753540039,33.384666442871094,277.2344970703125,288.58514404296875,
OWZ,OWZ_GGW_115_0128,GGW,115,24,900,923,24,24,24,319.42206176672806,542.2754157923425,14.278557777404783,24.60169982910156,300.06787109375,326.3873291015625,
OWZ,OWZ_CTL_50_0121,CTL,50,55,995,1049,55,46,25,266.18524096636924,774.5329393094972,14.175591468811035,20.022069931030277,290.11041259765625,341.3356018066406,
OWZ,OWZ_GGW_119_0079,GGW,119,46,724,769,46,28,25,260.52744281773363,627.6666922488896,10.330538749694824,22.102672576904297,289.3690795898437,342.962646484375,
OWZ,OWZ_GGW_111_0095,GGW,111,36,791,826,36,29,25,288.225410327838,631.7608386343588,14.448932647705078,18.20602035522461,292.451171875,338.588134765625,
OWZ,OWZ_GGW_112_0112,GGW,112,33,812,844,33,28,25,4.794953692661259,383.60474076303575,37.09702301025391,49.42076873779297,268.1322021484375,294.9683532714844,
OWZ,OWZ_GGW_111_0156,GGW,111,32,987,1018,32,32,25,226.3817781549323,1280.2007821330862,14.116111755371094,24.006690979003903,315.25390625,344.2032470703125,
OWZ,OWZ_GGW_101_0168,GGW,101,25,886,910,25,25,25,148.34509469103617,297.0076376748356,21.989238739013672,29.1837215423584,265.45166015625,285.03594970703125,
OWZ,OWZ_GGW_106_0112,GGW,106,38,984,1021,38,26,26,154.66044085344623,309.6151488717589,24.14689064025879,31.756282806396484,274.775390625,297.3231201171875,
OWZ,OWZ_GGW_111_0109,GGW,111,37,835,871,37,36,26,246.51829746942968,633.4497608307569,14.301403045654297,28.901046752929688,292.48114013671875,334.3292541503906,
OWZ,OWZ_GGW_117_0205,GGW,117,28,1002,1029,28,28,26,412.402772483775,1082.1275582607946,16.135894775390625,25.66018486022949,315.31085205078125,351.8490600585937,
OWZ,OWZ_GGW_114_0103,GGW,114,41,828,868,41,41,27,264.7426736941088,1114.5137261027876,16.190196990966797,34.269405364990234,296.7656555175781,343.93524169921875,
OWZ,OWZ_GGW_101_0176,GGW,101,30,905,934,30,30,27,8.023238804795659,541.7955672388869,15.997726440429688,18.059154510498047,314.7037353515625,338.32537841796875,
OWZ,OWZ_GGW_107_0139,GGW,107,27,985,1011,27,27,27,247.6352019338659,462.87866853353177,12.484485626220703,25.747289657592773,292.18145751953125,316.7649841308594,
OWZ,OWZ_GGW_108_0189,GGW,108,41,908,948,41,38,28,94.62804311367344,635.4021792028526,14.991501808166504,30.284469604492188,280.45135498046875,325.043701171875,
OWZ,OWZ_GGW_114_0133,GGW,114,28,913,940,28,28,28,81.36888659028877,302.6560863341207,21.00157356262207,29.024250030517575,276.1283874511719,280.0764465332031,
OWZ,OWZ_GGW_110_0182,GGW,110,34,1058,1091,34,32,30,257.2795334780156,542.1089154677607,11.48981475830078,27.39315223693848,304.5958251953125,336.251953125,
OWZ,OWZ_GGW_108_0216,GGW,108,42,1006,1047,42,42,31,286.75526496305736,1588.7728897468928,16.670833587646484,21.80630111694336,262.5242919921875,308.9036865234375,
OWZ,OWZ_GGW_101_0202,GGW,101,36,980,1015,36,33,31,268.35701902545225,616.5439220482718,12.263753890991213,31.843647003173828,317.0277099609375,347.2537536621094,
OWZ,OWZ_GGW_96_0202,GGW,96,40,1028,1067,40,40,32,23.634016660861896,564.8063574303567,17.280162811279297,25.696258544921875,290.500732421875,318.900146484375,
OWZ,OWZ_GGW_116_0136,GGW,116,37,812,848,37,37,34,260.8864104026151,723.406462283988,15.893861770629885,24.452415466308597,299.7899780273437,338.7698974609375,
OWZ,OWZ_GGW_109_0152,GGW,109,44,823,866,44,41,35,155.88904420290103,643.3117569367015,15.146530151367188,33.06632995605469,287.0204467773437,331.3748779296875,
OWZ,OWZ_CTL_51_0233,CTL,51,39,1002,1040,39,39,35,298.14748832830384,554.9300948948642,12.405647277832031,25.49551010131836,290.98858642578125,313.7165222167969,
OWZ,OWZ_GGW_101_0185,GGW,101,44,929,972,44,44,37,138.94261430903578,620.3914020906639,17.97076416015625,28.531110763549805,290.27325439453125,336.5629272460937,
OWZ,OWZ_GGW_115_0139,GGW,115,48,933,980,48,48,38,11.052010454302378,496.6469537301253,15.389514923095703,34.10028839111328,291.8548583984375,336.21270751953125,
OWZ,OWZ_GGW_104_0181,GGW,104,47,988,1034,47,41,41,249.21061431081824,541.4603574956593,15.870765686035156,37.80605697631836,309.8315124511719,342.6932678222656,
OWZ,OWZ_GGW_109_0177,GGW,109,42,911,952,42,42,42,127.4413640969191,389.9239014267384,17.886512756347656,33.1489143371582,267.5367431640625,305.7840576171875,
OWZ,OWZ_GGW_104_0140,GGW,104,45,850,894,45,45,43,293.1351960371909,535.0921575980124,14.179288864135742,26.961441040039062,277.38916015625,336.20623779296875,
OWZ,OWZ_GGW_117_0149,GGW,117,49,832,880,49,48,46,68.02965354041088,538.50401343922,14.140064239501951,19.554767608642575,305.4031677246094,336.0848999023437,
