experiment,year,time_index,month,hour,lat,lon,lon_sin,lon_cos,month_sin,month_cos,u_200,v_200,t_200,q_200,rh_200,u_300,v_300,t_300,q_300,rh_300,u_500,v_500,t_500,q_500,rh_500,u_700,v_700,t_700,q_700,rh_700,u_850,v_850,t_850,q_850,rh_850,zeta_850,zeta_500,wshear_850_200,steer_u_850_200,steer_v_850_200,zeta850_max_r500,zeta500_max_r500,rh700_mean_r500,shear_min_r500,prob_tc,decision_score,track_id,life_step,lifetime_steps,global_track_id
CTL,57.0,761.0,7.0,6.0,12.315789222717285,330.0,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388,-10.976094245910645,1.6750718355178833,217.72274780273438,4.90436541440431e-05,76.91902160644531,-6.867525577545166,-4.110579490661621,241.2206268310547,0.00016339631110895425,31.968826293945312,-5.302196502685547,-1.938929796218872,267.7727355957031,0.003462822875007987,64.41466522216797,-2.5485482215881348,-2.6931467056274414,280.7335205078125,0.007567407563328743,81.54911804199219,0.12555837631225586,-1.143354058265686,290.2408447265625,0.008683707565069199,63.11418914794922,3.930531966034323e-05,2.7878168111783452e-05,11.453828811645508,-5.113760948181152,-1.6421877145767212,3.930531966034323e-05,4.894688754575327e-05,65.3990707397461,1.432875156402588,0.6520819321572634,0.6282032020283688,1,1,8,ML_CTL_57_0001
CTL,57.0,762.0,7.0,12.0,12.315789222717285,327.5,-0.5372996083468242,0.8433914458128855,-0.4999999999999997,-0.8660254037844388,-11.071552276611328,2.5670695304870605,217.79566955566406,3.899537477991544e-05,60.99940490722656,-7.374967098236084,-3.3217856884002686,241.08644104003906,0.00012197964679216966,23.632143020629883,-6.062554836273193,-1.796228289604187,268.2955627441406,0.0029846960678696632,52.46546936035156,-2.632183790206909,-2.38752818107605,281.3338317871094,0.007414522580802441,76.6766357421875,1.1908360719680786,-0.8931822776794434,289.9418029785156,0.008991645649075508,66.39265441894531,3.8442514778580517e-05,2.2699807232129388e-05,12.741251945495605,-5.190084457397461,-1.1663310527801514,3.8442514778580517e-05,4.0899049054132774e-05,60.903587341308594,2.0814056396484375,0.6591919783960144,0.6596954775773196,1,2,8,ML_CTL_57_0001
CTL,57.0,763.0,7.0,18.0,12.315789222717285,327.5,-0.5372996083468242,0.8433914458128855,-0.4999999999999997,-0.8660254037844388,-11.219560623168945,2.9572694301605225,217.88417053222656,4.8860958486329764e-05,75.71331024169922,-7.591331481933594,-2.452914237976074,241.09193420410156,0.00011734363215509802,20.903221130371094,-4.3300909996032715,0.41361886262893677,268.526611328125,0.0026801717467606068,45.9385871887207,-0.1779242902994156,-0.42379656434059143,281.3580322265625,0.007548709865659475,77.86226654052734,2.3882968425750732,-0.4168447256088257,289.3402404785156,0.00974112655967474,73.2715072631836,3.8286805647658184e-05,2.4366150682908483e-05,14.019929885864258,-4.186122417449951,0.015466553159058094,3.8286805647658184e-05,3.693984399433248e-05,62.87483215332031,3.2907156944274902,0.6236854836388932,0.505220935252773,1,3,8,ML_CTL_57_0001
CTL,57.0,764.0,7.0,0.0,12.315789222717285,327.5,-0.5372996083468242,0.8433914458128855,-0.4999999999999997,-0.8660254037844388,-10.891670227050781,2.6863982677459717,217.89369201660156,5.306788079906255e-05,81.81546783447266,-7.450754642486572,0.16746807098388672,240.70013427734375,0.00023547399905510247,39.79979705810547,-4.27069616317749,2.816132068634033,268.2212829589844,0.0018819476244971156,33.745643615722656,0.7403577566146851,1.5830774307250977,281.1461181640625,0.007453706115484238,77.92841339111328,2.3958590030670166,0.09187398850917816,288.6320495605469,0.010325572453439236,80.10377502441406,3.9370082959067076e-05,2.1193965949350968e-05,13.53846263885498,-3.895380735397339,1.4689899682998657,3.9370082959067076e-05,3.1334271625382826e-05,65.83671569824219,3.493546724319458,0.6268708213827968,0.5188158098455917,1,4,8,ML_CTL_57_0001
CTL,57.0,765.0,7.0,6.0,12.315789222717285,325.0,-0.5735764363510465,0.8191520442889916,-0.4999999999999997,-0.8660254037844388,-10.896180152893066,3.3553037643432617,217.5471649169922,4.9504244088893756e-05,80.08403015136719,-7.438786029815674,0.46583476662635803,240.65415954589844,0.00015713968605268747,28.049222946166992,-5.164124965667725,2.2217824459075928,267.8231506347656,0.0018467357149347663,33.88134765625,-0.3620527684688568,0.831000804901123,281.1861877441406,0.007353355176746845,76.65446472167969,1.2631291151046753,-0.7923705577850342,288.34124755859375,0.01049894466996193,83.07757568359375,3.844104867312126e-05,2.039667742792517e-05,12.847256660461426,-4.519603252410889,1.2163102626800537,3.844104867312126e-05,2.5767316401470453e-05,66.11072540283203,2.4226772785186768,0.6306570268838462,0.5350364969654899,1,5,8,ML_CTL_57_0001
CTL,57.0,766.0,7.0,12.0,12.315789222717285,325.0,-0.5735764363510465,0.8191520442889916,-0.4999999999999997,-0.8660254037844388,-11.324714660644531,3.3168365955352783,217.71177673339844,4.354595148470253e-05,68.78897857666016,-6.478391170501709,1.9935723543167114,240.64620971679688,0.00022325527970679104,37.19587707519531,-4.882781982421875,4.585033893585205,268.55120849609375,0.0011131877545267344,20.090681076049805,-0.9131955504417419,2.2824907302856445,281.71826171875,0.006990645080804825,70.2640151977539,0.4146665632724762,0.14392663538455963,289.29571533203125,0.010074108839035034,74.86338806152344,3.638760608737357e-05,1.571345819684211e-05,12.160609245300293,-4.63688325881958,2.464372158050537,3.638760608737357e-05,2.2851101675769314e-05,65.7596664428711,2.279128074645996,0.5636608850412614,0.25603307537443754,1,6,8,ML_CTL_57_0001
CTL,57.0,767.0,7.0,18.0,12.315789222717285,322.5,-0.608761429008721,0.7933533402912349,-0.4999999999999997,-0.8660254037844388,-13.554227828979492,5.4135942459106445,217.6953887939453,3.717543950187974e-05,59.124359130859375,-8.543540954589844,2.1725568771362305,240.66506958007812,0.00016866977966856211,29.215999603271484,-4.301608562469482,2.8602256774902344,268.4449462890625,0.0009662003722041845,17.042938232421875,-0.8652071356773376,0.9795042276382446,281.85650634765625,0.007107928860932589,70.76791381835938,0.5657802820205688,-0.26325953006744385,288.32061767578125,0.011508659459650517,90.85285949707031,3.449113137321547e-05,1.4379545973497443e-05,15.218452453613281,-5.339760780334473,2.2325243949890137,3.449113137321547e-05,2.0605068129952997e-05,66.55126953125,2.8341002464294434,0.5555424113535662,0.22309031745357655,1,7,8,ML_CTL_57_0001
CTL,57.0,768.0,7.0,0.0,12.315789222717285,320.0,-0.6427876096865396,0.7660444431189778,-0.4999999999999997,-0.8660254037844388,-14.286441802978516,8.45132064819336,217.40858459472656,3.1964063964551315e-05,53.29765319824219,-9.884305000305176,2.9341304302215576,240.3053741455078,0.0001491991861257702,26.947416305541992,-5.149968147277832,1.3826663494110107,267.8155517578125,0.0010212685447186232,18.760717391967773,-1.7549748420715332,0.05320047587156296,281.3099365234375,0.007304844446480274,75.43842315673828,-0.2431366741657257,-0.7180147171020508,288.0926513671875,0.01141745038330555,91.36951446533203,3.491166353342123e-05,1.4083438145462424e-05,16.77173614501953,-6.26376485824585,2.4206607341766357,3.491166353342123e-05,1.8184307919000275e-05,69.0939712524414,3.391355276107788,0.5562839138513614,0.22609388805497233,1,8,8,ML_CTL_57_0001
CTL,57.0,766.0,7.0,12.0,38.842105865478516,300.0,-0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,4.1162309646606445,-6.933518409729004,216.26539611816406,4.871507189818658e-05,94.58673095703125,4.640782833099365,-3.59086537361145,238.5647430419922,0.00032550751348026097,66.271240234375,1.6478748321533203,-1.9905047416687012,266.0166320800781,0.0031718239188194275,68.19979095458984,1.5839980840682983,-0.6809194087982178,281.3481750488281,0.0070256334729492664,72.3521728515625,3.869795560836792,2.8203694820404053,288.94683837890625,0.011843444779515266,89.44622039794922,4.343721957411617e-05,1.4663887668575626e-05,9.757000923156738,3.171736240386963,-2.075087785720825,4.343721957411617e-05,2.9384107619989663e-05,78.55204772949219,3.6721243858337402,0.7539461729817928,1.1197706558270917,2,1,10,ML_CTL_57_0002
CTL,57.0,767.0,7.0,18.0,38.842105865478516,300.0,-0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,1.2898234128952026,-6.7771897315979,217.49107360839844,3.8156562368385494e-05,63.922691345214844,2.932936191558838,-4.395318031311035,239.1292724609375,0.00021072088566143066,38.7917594909668,0.9501850605010986,-2.02317214012146,266.1098327636719,0.0028189553413540125,58.730987548828125,1.0354512929916382,-0.5618287324905396,282.0332946777344,0.006952486000955105,68.34608459472656,3.4111483097076416,2.887650489807129,289.18206787109375,0.011717311106622219,87.14378356933594,4.114946932531893e-05,1.0362111424910836e-05,9.894906044006348,1.9239089488983154,-2.173971652984619,4.114946932531893e-05,4.0798211557557806e-05,77.05554962158203,2.144822120666504,0.9142174150825559,2.3662524023466935,2,2,10,ML_CTL_57_0002
