experiment,year,time_index,month,hour,lat,lon,lon_sin,lon_cos,month_sin,month_cos,u_200,v_200,t_200,q_200,rh_200,u_300,v_300,t_300,q_300,rh_300,u_500,v_500,t_500,q_500,rh_500,u_700,v_700,t_700,q_700,rh_700,u_850,v_850,t_850,q_850,rh_850,zeta_850,zeta_500,wshear_850_200,steer_u_850_200,steer_v_850_200,zeta850_max_r500,zeta500_max_r500,rh700_mean_r500,shear_min_r500,prob_tc,decision_score,track_id,life_step,lifetime_steps,global_track_id
GGW,119.0,729.0,7.0,6.0,10.421052932739258,335.0,-0.4226182617406992,0.90630778703665,-0.4999999999999997,-0.8660254037844388,-8.891282081604004,2.960744619369507,218.2157745361328,5.87290596740786e-05,84.79617309570312,-4.830353736877441,4.576850891113281,242.48240661621094,0.0008614515536464751,106.74551391601562,-4.431077480316162,5.578847408294678,269.5149230957031,0.005887793377041817,100.88079071044922,-9.989266395568848,2.266209125518799,281.5710144042969,0.00882064737379551,89.49127960205078,-4.132977485656738,2.0223026275634766,290.9045104980469,0.01204595435410738,80.2720718383789,5.237484583631158e-05,6.360114639392123e-05,4.8499627113342285,-6.454991340637207,3.4809908866882324,5.237484583631158e-05,8.157975389622152e-05,75.31510162353516,4.677014350891113,0.6055229423754297,0.4285314692259603,1,1,15,ML_GGW_119_0001
GGW,119.0,730.0,7.0,12.0,10.421052932739258,332.5,-0.46174861323503363,0.8870108331782218,-0.4999999999999997,-0.8660254037844388,-8.448843955993652,2.0793983936309814,218.65179443359375,6.979326280998066e-05,96.31849670410156,-3.9477853775024414,3.356008768081665,243.748046875,0.0009772807825356722,105.37869262695312,-4.064584255218506,4.89682149887085,269.802734375,0.006019989959895611,101.1270523071289,-10.597244262695312,0.8554532527923584,281.57757568359375,0.008814859203994274,89.4065170288086,-4.161917209625244,-0.22259846329689026,290.98052978515625,0.012294098734855652,81.54164123535156,5.3249441407388076e-05,7.551492308266461e-05,4.865894794464111,-6.244074821472168,2.193016767501831,5.3249441407388076e-05,7.977921632118523e-05,71.53498077392578,3.7709100246429443,0.578714397892556,0.3174980945039263,1,2,15,ML_GGW_119_0001
GGW,119.0,731.0,7.0,18.0,10.421052932739258,332.5,-0.46174861323503363,0.8870108331782218,-0.4999999999999997,-0.8660254037844388,-9.517648696899414,0.8331851363182068,218.76339721679688,3.328311140649021e-05,44.31336212158203,-7.496112823486328,3.444648265838623,242.8953094482422,0.0007436763844452798,84.04329681396484,-1.6553707122802734,5.851696491241455,269.630859375,0.005945268552750349,100.91824340820312,-8.149293899536133,2.7686922550201416,282.57391357421875,0.008526895195245743,80.78717803955078,-1.7906087636947632,1.3153114318847656,290.82763671875,0.012156226672232151,81.39960479736328,5.583770325756632e-05,6.0534039221238345e-05,7.742066383361816,-5.72180700302124,2.8427066802978516,5.583770325756632e-05,8.206439815694466e-05,69.7598876953125,3.6784090995788574,0.8504452918979002,1.7380978187588347,1,3,15,ML_GGW_119_0001
GGW,119.0,732.0,7.0,0.0,10.421052932739258,332.5,-0.46174861323503363,0.8870108331782218,-0.4999999999999997,-0.8660254037844388,-11.400629043579102,1.8877475261688232,219.02386474609375,2.2257496311794966e-05,29.324209213256836,-10.98704719543457,3.6793599128723145,242.1746063232422,0.0005737362080253661,67.10114288330078,-1.250588297843933,4.650077819824219,269.034423828125,0.00562871340662241,99.52347564697266,-6.388168811798096,3.5601425170898438,282.9093017578125,0.008180251345038414,75.71382141113281,-0.1333799958229065,3.10492205619812,290.4965515136719,0.012233361601829529,83.67527770996094,5.4767635447205976e-05,4.490749051910825e-05,11.332802772521973,-6.0319623947143555,3.3764500617980957,5.4767635447205976e-05,7.41928379284218e-05,71.31725311279297,1.3666152954101562,0.8251216039186766,1.5514399213143326,1,4,15,ML_GGW_119_0001
GGW,119.0,733.0,7.0,6.0,10.421052932739258,330.0,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388,-11.59615421295166,4.250261306762695,218.2812957763672,5.5060183512978256e-05,79.22644805908203,-9.58022403717041,4.369469165802002,241.87107849121094,0.0007527607958763838,98.51486206054688,-3.119680166244507,3.8766162395477295,269.8537292480469,0.0059603070840239525,99.03295135498047,-7.856456756591797,1.6304603815078735,282.29241943359375,0.00872375164180994,84.23223114013672,-2.0254368782043457,0.8776280879974365,290.41510009765625,0.012534371577203274,86.1751937866211,5.443747795652598e-05,5.55946389795281e-05,10.147574424743652,-6.835590362548828,3.000887155532837,5.443747795652598e-05,6.982557533774525e-05,73.6419448852539,4.0230512619018555,0.6745996968073792,0.7290633466487595,1,5,15,ML_GGW_119_0001
GGW,119.0,734.0,7.0,12.0,10.421052932739258,330.0,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388,-11.697991371154785,6.655797958374023,218.69334411621094,5.405618867371231e-05,75.42977142333984,-10.712200164794922,3.305734634399414,241.86434936523438,0.0006743914564140141,87.89241790771484,-3.915086030960083,3.195314645767212,270.03448486328125,0.0059337010607123375,97.0746078491211,-6.17103910446167,3.3666951656341553,282.4751281738281,0.008669916540384293,82.67021179199219,-0.42125022411346436,3.3310723304748535,290.36663818359375,0.012518756091594696,86.3580551147461,5.3395862778415903e-05,4.027785325888544e-05,11.756644248962402,-6.583512783050537,3.9709229469299316,5.3395862778415903e-05,6.128068343969062e-05,74.00880432128906,3.0879788398742676,0.6770396864032335,0.7402004446215134,1,6,15,ML_GGW_119_0001
GGW,119.0,737.0,7.0,6.0,10.421052932739258,325.0,-0.5735764363510465,0.8191520442889916,-0.4999999999999997,-0.8660254037844388,-10.123296737670898,6.242573261260986,218.78369140625,7.364574412349612e-05,99.81906127929688,-8.078289031982422,2.7528164386749268,244.61512756347656,0.0010795376729220152,105.14807891845703,-7.845358848571777,-1.4295070171356201,270.0941162109375,0.00615449994802475,101.1318359375,-7.097193717956543,-1.442981243133545,281.4762268066406,0.009601536206901073,98.00360107421875,-1.2456847429275513,-0.6928034424781799,289.36187744140625,0.013040008954703808,95.930419921875,6.0560119891306385e-05,7.119864312699065e-05,11.265498161315918,-6.877964973449707,1.0860196352005005,6.0560119891306385e-05,7.119864312699065e-05,77.82510375976562,5.678257465362549,0.6067021052730861,0.4334705784013271,1,7,15,ML_GGW_119_0001
GGW,119.0,740.0,7.0,0.0,10.421052932739258,322.5,-0.608761429008721,0.7933533402912349,-0.4999999999999997,-0.8660254037844388,-9.73528003692627,5.507479190826416,219.2638397216797,7.81343478593044e-05,100.16339111328125,-13.779745101928711,-0.2253996580839157,243.2632598876953,0.0009938107104972005,114.46664428710938,-6.033565521240234,-3.4308478832244873,269.6996154785156,0.005951095372438431,100.48808288574219,-2.0403637886047363,-1.976528286933899,281.5881042480469,0.009756354615092278,98.82125854492188,1.6970174312591553,1.3245515823364258,289.677978515625,0.013713276945054531,98.8532485961914,7.628226740052924e-05,7.989966252353042e-05,12.173508644104004,-5.978387355804443,0.23985102772712708,7.628226740052924e-05,7.989966252353042e-05,82.63201141357422,3.4340786933898926,0.6161016453023135,0.4730341422887048,1,8,15,ML_GGW_119_0001
GGW,119.0,741.0,7.0,6.0,10.421052932739258,322.5,-0.608761429008721,0.7933533402912349,-0.4999999999999997,-0.8660254037844388,-9.384648323059082,6.1753668785095215,219.7147979736328,8.306335075758398e-05,99.89208984375,-9.003693580627441,1.2210015058517456,244.4640350341797,0.001154376775957644,118.46119689941406,-3.522822380065918,-0.524153470993042,269.04876708984375,0.00559992715716362,100.0473403930664,0.8958430290222168,2.2542333602905273,281.5223693847656,0.009811576455831528,99.80366516113281,4.886002540588379,6.022458076477051,289.94293212890625,0.01390032283961773,98.51248168945312,7.688282494200394e-05,8.05781310191378e-05,14.271470069885254,-3.2258636951446533,3.0297813415527344,7.688282494200394e-05,8.05781310191378e-05,86.654052734375,3.7682979106903076,0.5616960648738466,0.24804830822897017,1,9,15,ML_GGW_119_0001
GGW,119.0,742.0,7.0,12.0,12.315789222717285,322.5,-0.608761429008721,0.7933533402912349,-0.4999999999999997,-0.8660254037844388,-10.06194019317627,9.610638618469238,219.73880004882812,8.306583185913041e-05,100.0208511352539,-13.878499984741211,3.5763566493988037,244.37173461914062,0.0011147732147946954,113.2879638671875,-14.744929313659668,2.229013204574585,269.7001953125,0.005852001253515482,99.27764892578125,-9.658212661743164,4.368860244750977,281.4989318847656,0.00926669966429472,94.42121124267578,-3.8980095386505127,6.4770636558532715,290.5042419433594,0.013670168817043304,93.47992706298828,7.557650678791106e-05,6.746209692209959e-05,6.9147186279296875,-10.448318481445312,5.252387046813965,7.557650678791106e-05,8.086505113169551e-05,81.08367156982422,4.9505791664123535,0.6103697246424449,0.4488666019580414,1,10,15,ML_GGW_119_0001
