experiment,year,time_index,month,hour,lat,lon,lon_sin,lon_cos,month_sin,month_cos,u_200,v_200,t_200,q_200,rh_200,u_300,v_300,t_300,q_300,rh_300,u_500,v_500,t_500,q_500,rh_500,u_700,v_700,t_700,q_700,rh_700,u_850,v_850,t_850,q_850,rh_850,zeta_850,zeta_500,wshear_850_200,steer_u_850_200,steer_v_850_200,zeta850_max_r500,zeta500_max_r500,rh700_mean_r500,shear_min_r500,prob_tc,decision_score,track_id,life_step,lifetime_steps,global_track_id
GGW,118.0,812.0,7.0,0.0,27.473684310913086,280.0,-0.9848077530122081,0.17364817766692997,-0.4999999999999997,-0.8660254037844388,3.23274827003479,-2.4354302883148193,222.8135986328125,0.00011802636436186731,100.39170837402344,1.8990005254745483,-7.552251815795898,242.2994384765625,0.0003605973906815052,50.203495025634766,-0.9955862164497375,-10.160785675048828,268.3274230957031,0.0038921453524380922,70.05501556396484,0.30456727743148804,-3.223754644393921,281.9986267089844,0.006923322100192308,68.1646957397461,3.023594617843628,0.08691805601119995,291.1759948730469,0.013255869969725609,86.81180572509766,3.911838211934082e-05,1.1471581274236087e-05,2.5310051441192627,1.4928648471832275,-4.6570611000061035,3.911838211934082e-05,5.251261973171495e-05,63.03413009643555,2.5310051441192627,0.5821621581897551,0.33165561223837203,1,1,15,ML_GGW_118_0001
GGW,118.0,813.0,7.0,6.0,27.473684310913086,280.0,-0.9848077530122081,0.17364817766692997,-0.4999999999999997,-0.8660254037844388,7.3945746421813965,-6.006219387054443,222.9001007080078,0.00011740949412342161,98.92570495605469,2.9296205043792725,-6.74717378616333,242.2646942138672,0.0003272830508649349,45.10720443725586,-2.287696599960327,-6.9676899909973145,268.3695068359375,0.0034786255564540625,62.528541564941406,0.09620773792266846,-1.9818230867385864,281.8296203613281,0.00710286246612668,70.71687316894531,2.5247037410736084,0.21430176496505737,290.8194580078125,0.013489515520632267,90.3974838256836,4.1908711864380166e-05,1.6046667951741256e-05,7.900033473968506,2.131481885910034,-4.297720909118652,4.1908711864380166e-05,4.663671279558912e-05,63.29490661621094,1.7902028560638428,0.6579067347163184,0.6539797753334107,1,2,15,ML_GGW_118_0001
GGW,118.0,814.0,7.0,12.0,27.473684310913086,280.0,-0.9848077530122081,0.17364817766692997,-0.4999999999999997,-0.8660254037844388,4.176067352294922,-7.431563377380371,221.5609130859375,0.00010124987602466717,100.40833282470703,1.6418944597244263,-5.174050331115723,242.0552520751953,0.00035616575041785836,47.84354019165039,-2.7169394493103027,-4.73565673828125,268.3101806640625,0.003535887226462364,64.07563018798828,-0.31231915950775146,-1.5241563320159912,281.8742980957031,0.0074777062982320786,74.24569702148438,1.4233191013336182,1.3300468921661377,290.67462158203125,0.013514394871890545,91.39696502685547,4.445471495273523e-05,1.980368142540101e-05,9.183868408203125,0.8424043655395508,-3.507075786590576,4.445471495273523e-05,3.676178675959818e-05,63.28763198852539,2.816337823867798,0.7281315604687327,0.9851634757071901,1,3,15,ML_GGW_118_0001
GGW,118.0,815.0,7.0,18.0,27.473684310913086,280.0,-0.9848077530122081,0.17364817766692997,-0.4999999999999997,-0.8660254037844388,1.4061682224273682,-4.895284175872803,221.1914520263672,9.742096881382167e-05,101.03868865966797,0.1703193634748459,-3.1936116218566895,242.06967163085938,0.00041103787953034043,53.77708435058594,-3.6099488735198975,-4.07395601272583,268.53350830078125,0.003950737416744232,71.15596008300781,-1.0236268043518066,-0.3570123612880707,282.0037841796875,0.00782015360891819,76.97005462646484,1.4750250577926636,3.2416443824768066,290.8708801269531,0.013511378318071365,90.15372467041016,4.197267844574526e-05,2.4609651518403552e-05,8.137219429016113,-0.31641262769699097,-1.85564386844635,4.197267844574526e-05,4.382774204714224e-05,63.105247497558594,1.2558801174163818,0.7479772933722028,1.0878534319414221,1,4,15,ML_GGW_118_0001
GGW,118.0,816.0,7.0,0.0,27.473684310913086,280.0,-0.9848077530122081,0.17364817766692997,-0.4999999999999997,-0.8660254037844388,0.8760302662849426,-5.559525489807129,221.9562225341797,0.00010519685747567564,99.16424560546875,-0.7182513475418091,-2.7175486087799072,242.0118865966797,0.000475700362585485,62.427249908447266,-5.568581581115723,-1.7135494947433472,268.65924072265625,0.004297587554901838,77.14973449707031,-1.7953890562057495,2.5048434734344482,281.4761047363281,0.007987096905708313,81.546630859375,1.2959848642349243,5.12664270401001,290.74688720703125,0.013090860098600388,88.07073211669922,3.837613621726632e-05,3.436979022808373e-05,10.694416999816895,-1.1820414066314697,-0.4718274176120758,3.837613621726632e-05,5.592907473328523e-05,60.485260009765625,3.631197452545166,0.8001960042590779,1.3875198382650762,1,5,15,ML_GGW_118_0001
GGW,118.0,817.0,7.0,6.0,29.36842155456543,280.0,-0.9848077530122081,0.17364817766692997,-0.4999999999999997,-0.8660254037844388,-3.334026575088501,-7.926977157592773,219.6475830078125,4.850984623772092e-05,60.574554443359375,-1.4123668670654297,-2.3113090991973877,241.72093200683594,0.0006304752314463258,79.57310485839844,-5.622272968292236,1.5241986513137817,267.92388916015625,0.003638894995674491,67.62176513671875,-3.6937150955200195,3.8424952030181885,282.3106994628906,0.008644511923193932,83.36620330810547,-1.8326644897460938,5.907906532287598,290.2713623046875,0.011751416139304638,81.50074768066406,3.691248275572434e-05,2.471392144798301e-05,13.916109085083008,-3.179008960723877,0.2072627991437912,3.691248275572434e-05,5.212925680098124e-05,60.245304107666016,4.844156265258789,0.8949758922425617,2.142606860376347,1,6,15,ML_GGW_118_0001
GGW,118.0,818.0,7.0,12.0,27.473684310913086,277.5,-0.9914448613738105,0.13052619222005127,-0.4999999999999997,-0.8660254037844388,-1.7006863355636597,-6.298563480377197,219.2906036376953,7.857066520955414e-05,99.95808410644531,-4.109343528747559,-2.5682566165924072,243.27490234375,0.0007369864615611732,91.41326141357422,-6.30605411529541,-2.245966672897339,268.09747314453125,0.004057561047375202,76.11488342285156,-2.353828191757202,0.604237973690033,281.4220275878906,0.007935737259685993,81.35212707519531,-1.4196674823760986,2.3456482887268066,290.6805114746094,0.013338431715965271,90.10631561279297,4.087488559889607e-05,4.074243770446628e-05,8.648778915405273,-3.1779160499572754,-1.6325801610946655,4.087488559889607e-05,4.766696656588465e-05,68.8687515258789,2.134540319442749,0.7111695614570321,0.9010710863508429,1,7,15,ML_GGW_118_0001
GGW,118.0,819.0,7.0,18.0,27.473684310913086,277.5,-0.9914448613738105,0.13052619222005127,-0.4999999999999997,-0.8660254037844388,-0.22929708659648895,-7.263362407684326,220.42701721191406,9.064790356205776e-05,99.84969329833984,-3.4815077781677246,0.19644418358802795,243.15650939941406,0.0008338181651197374,102.6519546508789,-5.664330959320068,1.473633050918579,268.6669616699219,0.005163016263395548,94.61909484863281,-1.8308777809143066,3.6319518089294434,280.5973205566406,0.007993130944669247,86.63619995117188,-0.8523426055908203,6.528200626373291,290.79083251953125,0.012772276066243649,85.79330444335938,4.329154035076499e-05,4.733706737169996e-05,13.805628776550293,-2.4116711616516113,0.9133733510971069,4.329154035076499e-05,5.009147207601927e-05,68.57009887695312,0.2793675661087036,0.6426543642083421,0.5869035625983912,1,8,15,ML_GGW_118_0001
GGW,118.0,820.0,7.0,0.0,27.473684310913086,275.0,-0.9961946980917455,0.08715574274765789,-0.4999999999999997,-0.8660254037844388,-2.685755968093872,-7.236337184906006,219.1494598388672,7.808594091329724e-05,101.28556823730469,-3.7940502166748047,-2.2072319984436035,244.19728088378906,0.0009708005818538368,102.73799896240234,-6.689056873321533,-4.330206394195557,268.490234375,0.0042553977109491825,78.12960815429688,-3.445626974105835,-2.811460256576538,281.7893371582031,0.007174562197178602,71.69755554199219,-1.932640790939331,0.4061514437198639,291.2821044921875,0.013303028419613838,86.46322631835938,4.467058533919044e-05,4.0791634091874585e-05,7.679505825042725,-3.709426164627075,-3.2358169555664062,4.467058533919044e-05,4.9500118620926514e-05,72.71797180175781,0.7630748152732849,0.577983096735238,0.3144992554784549,1,9,15,ML_GGW_118_0001
GGW,118.0,821.0,7.0,6.0,27.473684310913086,275.0,-0.9961946980917455,0.08715574274765789,-0.4999999999999997,-0.8660254037844388,-3.4011614322662354,-7.924349784851074,219.16310119628906,7.784098852425814e-05,101.58855438232422,-3.6837759017944336,-1.0489109754562378,243.8324432373047,0.0009684643591754138,104.2372055053711,-6.2787370681762695,-0.5722914934158325,268.7643127441406,0.005040103103965521,91.73503112792969,-2.731912612915039,1.1091214418411255,280.6611022949219,0.0077178808860480785,83.37628936767578,-0.6589633226394653,3.263051986694336,290.7929992675781,0.013308617286384106,89.29827880859375,4.733531750389375e-05,4.7771511162864044e-05,11.518576622009277,-3.350910186767578,-1.0346758365631104,4.733531750389375e-05,5.2167324611218646e-05,72.51690673828125,0.9515016674995422,0.6319181849877922,0.5404546947722233,1,10,15,ML_GGW_118_0001
GGW,118.0,822.0,7.0,12.0,27.473684310913086,275.0,-0.9961946980917455,0.08715574274765789,-0.4999999999999997,-0.8660254037844388,-1.6497175693511963,-6.624536037445068,219.0111083984375,6.975790165597573e-05,92.31536102294922,-2.9979896545410156,0.08135303109884262,242.633056640625,0.0008957464597187936,109.58000183105469,-6.123079776763916,4.744091987609863,269.04949951171875,0.004904419183731079,88.40364074707031,-2.0451927185058594,5.1867289543151855,279.49609375,0.008050328120589256,94.1768798828125,0.13187825679779053,6.542571544647217,290.128662109375,0.01328548975288868,93.04656219482422,4.4852105929749086e-05,4.677756442106329e-05,13.287091255187988,-2.53682017326355,1.9860420227050781,4.4852105929749086e-05,4.9179237976204604e-05,71.24746704101562,2.387284278869629,0.7092073246737608,0.8915373448953234,1,11,15,ML_GGW_118_0001
