method,experiment,n_years,n_tracks_jas_na_mean,n_tracks_jas_na_ci95_low,n_tracks_jas_na_ci95_high,n_genesis_mdr_mean,n_genesis_mdr_ci95_low,n_genesis_mdr_ci95_high,n_track_points_mean,n_track_points_ci95_low,n_track_points_ci95_high,n_track_points_mdr_mean,n_track_points_mdr_ci95_low,n_track_points_mdr_ci95_high,n_track_points_box1_mean,n_track_points_box1_ci95_low,n_track_points_box1_ci95_high,n_track_points_box2_mean,n_track_points_box2_ci95_low,n_track_points_box2_ci95_high,n_tracks_jas_na_pct,n_genesis_mdr_pct,n_track_points_pct,n_track_points_mdr_pct,n_track_points_box1_pct,n_track_points_box2_pct
ML,CTL,30,13.833333333333334,12.366666666666667,15.366666666666667,6.866666666666666,5.9,7.866666666666666,232.13333333333333,196.29666666666668,271.6691666666667,101.23333333333333,84.5325,119.6,44.666666666666664,31.9325,58.266666666666666,105.2,87.26666666666667,124.93333333333334,,,,,,
ML,GGW,29,16.310344827586206,14.482758620689655,18.275862068965516,8.448275862068966,7.344827586206897,9.586206896551724,280.51724137931035,245.26896551724138,316.5879310344828,117.17241379310344,101.275,134.10344827586206,56.89655172413793,46.275862068965516,67.82844827586207,131.10344827586206,114.24137931034483,148.3836206896552,,,,,,
OWZ,CTL,30,31.333333333333332,29.033333333333335,33.766666666666666,6.7,5.533333333333333,7.833333333333333,422.4,384.0516666666667,459.5675,142.73333333333332,125.7325,160.3025,68.86666666666666,54.098333333333336,84.30083333333333,148.4,129.53166666666667,166.4675,,,,,,
OWZ,GGW,29,32.96551724137931,30.862068965517242,35.37931034482759,8.724137931034482,7.793103448275862,9.724137931034482,469.0689655172414,431.9991379310345,506.59051724137936,175.0,156.24137931034483,194.00172413793103,84.55172413793103,71.48189655172413,98.44913793103449,184.27586206896552,163.06810344827585,204.55172413793105,,,,,,
ML,GGW-CTL,29,2.4770114942528725,,,1.5816091954023,,,48.38390804597702,,,15.93908045977011,,,12.229885057471265,,,25.90344827586206,,,17.906107187370164,23.033143622363593,20.84315395432669,15.74489344066853,27.38033968090582,24.623049691884088
OWZ,GGW-CTL,29,1.6321839080459775,,,2.024137931034482,,,46.66896551724142,,,32.26666666666668,,,15.685057471264372,,,35.87586206896552,,,5.209097578870141,30.21101389603704,11.048524033437836,22.606258757589924,22.775978903094444,24.175109210893204
