model,n_train,n_test_obs,accuracy,precision,recall,f1,roc_auc,average_precision,brier
svc_rbf,9000,2636,0.9673748103186647,0.9859943977591037,0.9665019220208677,0.9761508596783139,0.9961613486825482,0.9982178057592067,0.037630011779317143
svc_linear,9000,2636,0.9658573596358119,0.981100611450806,0.9692476661175179,0.9751381215469613,0.9952901223961754,0.9978513334246,0.026814114348045554
logistic,9000,2636,0.9650986342943855,0.9810795770728993,0.9681493684788578,0.974571586511885,0.9951620999720372,0.9977890501389008,0.024855701900616145
random_forest,9000,2636,0.9578907435508346,0.9885714285714285,0.9500274574409665,0.9689162699523943,0.9950745056818373,0.9978051335825056,0.030052787836388272
