experiment,year,global_track_id,track_id,time,lat,lon,windMax,twarm,jetcore,time_index,month
CTL,31,OWZ_CTL_31_0087,87,-15502224,30.727380752563477,279.9071044921875,6.50269889831543,0.6450220942497253,0,752,7
CTL,31,OWZ_CTL_31_0087,87,-15502218,31.130830764770508,281.4508056640625,6.64442253112793,,0,753,7
CTL,31,OWZ_CTL_31_0087,87,-15502212,30.20592498779297,283.9652404785156,6.520576477050781,,0,754,7
CTL,31,OWZ_CTL_31_0087,87,-15502206,30.655773162841797,282.3294677734375,7.2063775062561035,,0,755,7
CTL,31,OWZ_CTL_31_0087,87,-15502200,30.620601654052734,282.3754577636719,6.7737956047058105,,0,756,7
CTL,31,OWZ_CTL_31_0087,87,-15502194,31.355979919433594,283.9862365722656,7.132465839385986,,0,757,7
CTL,31,OWZ_CTL_31_0087,87,-15502188,31.4835262298584,284.92425537109375,7.523800849914551,,0,758,7
CTL,31,OWZ_CTL_31_0087,87,-15502182,31.922271728515625,285.95465087890625,7.722519397735596,,0,759,7
CTL,31,OWZ_CTL_31_0087,87,-15502176,32.054805755615234,285.9374084472656,7.845525741577148,,0,760,7
CTL,31,OWZ_CTL_31_0087,87,-15502170,33.17726516723633,287.322021484375,8.26004695892334,,0,761,7
CTL,31,OWZ_CTL_31_0087,87,-15502164,33.40773010253906,288.7825927734375,8.802024841308594,,0,762,7
CTL,31,OWZ_CTL_31_0087,87,-15502158,33.57829284667969,288.9341735839844,8.865354537963867,,0,763,7
CTL,31,OWZ_CTL_31_0087,87,-15502152,33.53801727294922,289.9210205078125,9.556432723999023,,0,764,7
CTL,31,OWZ_CTL_31_0087,87,-15502146,33.664676666259766,290.1966247558594,9.280280113220215,,0,765,7
CTL,31,OWZ_CTL_31_0087,87,-15502140,33.79500961303711,292.34271240234375,8.876925468444824,,0,766,7
CTL,31,OWZ_CTL_31_0087,87,-15502134,34.31868362426758,293.396484375,9.580756187438965,,0,767,7
CTL,31,OWZ_CTL_31_0087,87,-15502128,34.3640251159668,295.0693664550781,9.529745101928711,,0,768,7
CTL,31,OWZ_CTL_31_0093,93,-15502056,42.47389602661133,312.57177734375,10.30262279510498,,0,780,7
CTL,31,OWZ_CTL_31_0093,93,-15502050,43.20751953125,315.0771179199219,10.684539794921875,,1,781,7
CTL,31,OWZ_CTL_31_0093,93,-15502044,43.31904983520508,315.0606994628906,10.505775451660156,,1,782,7
CTL,31,OWZ_CTL_31_0093,93,-15502038,44.76471710205078,318.6834716796875,10.03976058959961,0.0187259241938591,1,783,7
