sample_id,sid,name,time,date,year,month,hour,basin,nature,lat,lon,wind_kt,pres_hpa,source,experiment,label_tc,candidate_lat,candidate_lon,matched_sid,matched_name,label_distance_km,split,lon_sin,lon_cos,month_sin,month_cos,u_200,v_200,t_200,q_200,rh_200,u_300,v_300,t_300,q_300,rh_300,u_500,v_500,t_500,q_500,rh_500,u_700,v_700,t_700,q_700,rh_700,u_850,v_850,t_850,q_850,rh_850,zeta_850,zeta_500,wshear_850_200,steer_u_850_200,steer_v_850_200,zeta850_max_r500,zeta500_max_r500,rh700_mean_r500,shear_min_r500
IBT_2018186N10325_2018070412,2018186N10325,BERYL,2018-07-04 12:00:00,2018-07-04,2018,7,12,,TS,10.0,325.1000061035156,30.0,1008.0,IBTRACS_ERA5,OBS,1,10.0,325.1000061035156,2018186N10325,BERYL,0.0,test,-0.5721457860776509,0.8201519368224324,-0.4999999999999997,-0.8660254037844388,-8.693649291992188,4.468700408935547,219.1060028076172,6.274739280343056e-05,51.01416778564453,-9.437904357910156,4.661140441894531,241.99554443359372,0.000498485926073,52.5345344543457,-6.312335968017578,1.3386154174804688,267.65887451171875,0.0038102876860648,75.10417938232422,-7.227222442626953,4.4713134765625,282.09326171875,0.0088923387229442,87.01347351074219,-7.409492492675781,1.0172653198242188,289.5223083496094,0.0134105514734983,97.68140411376952,3.826436659437604e-05,2.559542190283537e-05,3.682589054107666,-7.816121101379394,3.1914069652557373,3.826436659437604e-05,2.559542190283537e-05,74.50627136230469,0.6132651567459106
IBT_2018186N10325_2018070418,2018186N10325,BERYL,2018-07-04 18:00:00,2018-07-04,2018,7,18,,TS,10.100000381469728,323.5,30.0,1008.0,IBTRACS_ERA5,OBS,1,10.100000381469728,323.5,2018186N10325,BERYL,0.0,test,-0.594822786751341,0.8038568606172175,-0.4999999999999997,-0.8660254037844388,-11.162399291992188,4.989696502685547,218.5752410888672,5.21363690495491e-05,45.18007278442383,-8.089271545410156,1.6836013793945312,241.79949951171875,0.0004470173153094,48.00127410888672,-8.104084014892578,-0.8413162231445312,267.60919189453125,0.0032370248809456,64.04668426513672,-8.104663848876953,-1.0870361328125,282.035400390625,0.0084706656634807,83.21382904052734,-5.672187805175781,-2.729072570800781,289.1978454589844,0.0125171970576047,93.09696197509766,2.2504704247694463e-05,2.4634759029140696e-05,9.472160339355469,-8.226521492004395,0.4031745791435241,3.826436659437604e-05,2.559542190283537e-05,74.13058471679688,0.6132651567459106
NEG_20180704_00056,,,2018-07-04 00:00:00,2018-07-04,2018,7,0,,BG,27.5,,,,IBTRACS_ERA5,OBS,0,27.5,332.5,,,2094.569406914909,test,-0.4617486132350336,0.8870108331782218,-0.4999999999999997,-0.8660254037844388,10.665603637695312,-2.556690216064453,220.29331970214844,1.4646208001067862e-05,10.33686065673828,6.010581970214844,-0.2951583862304687,241.20068359375,4.7198682295857e-05,5.367894172668457,2.975017547607422,0.3310470581054687,267.0997314453125,0.0001879345218185,3.8659496307373047,3.830272674560547,0.9158935546875,284.1260986328125,0.0013186594005674,11.250685691833496,-5.282417297363281,-3.040718078613281,286.8361511230469,0.0043215584009885,37.46979522705078,4.010576958535239e-06,-9.621389835956506e-07,15.955364227294922,3.639811754226685,-0.929125189781189,4.736588380183093e-06,1.717857230687514e-05,21.26082801818848,2.4576737880706787
NEG_20180704_00377,,,2018-07-04 00:00:00,2018-07-04,2018,7,0,,BG,45.0,,,,IBTRACS_ERA5,OBS,0,45.0,262.5,,,6951.449237192099,test,-0.9914448613738104,-0.1305261922200516,-0.4999999999999997,-0.8660254037844388,15.097854614257812,16.859325408935547,220.8726043701172,3.7967223761370406e-05,25.0251579284668,12.512779235839844,18.27442169189453,239.67657470703125,0.0004428189131431,58.37549209594727,8.266521453857422,8.807609558105469,263.96832275390625,0.0023619541898369,61.93904495239258,6.177806854248047,8.5523681640625,284.43310546875,0.005690615158528,47.5656852722168,7.737724304199219,10.13445281982422,294.2933044433594,0.0123427342623472,66.50951385498047,9.897310519590974e-06,-1.629023790883366e-05,9.969725608825684,9.958537101745604,12.525635719299316,4.914755118079484e-05,2.4402157578151676e-05,48.09319305419922,5.098023414611816
NEG_20180704_01709,,,2018-07-04 00:00:00,2018-07-04,2018,7,0,,BG,20.0,,,,IBTRACS_ERA5,OBS,0,20.0,352.5,,,3139.916343482593,test,-0.1305261922200516,0.9914448613738104,-0.4999999999999997,-0.8660254037844388,-9.439254760742188,2.286083221435547,220.2867889404297,2.0063478586962447e-05,14.171165466308594,-7.588050842285156,2.5307693481445312,239.05535888671875,0.0001530882000224,21.44625663757324,-16.207599639892578,1.7016525268554688,264.33709716796875,0.0019304314628243,49.17981719970703,-14.012622833251951,-1.4642333984375,286.707275390625,0.0045886146835982,32.993045806884766,-7.105537414550781,-3.665596008300781,302.1265563964844,0.0051157902926206,17.158061981201172,2.665227384568425e-06,-1.9474231521598995e-05,6.392865180969238,-10.870613098144531,0.2777351438999176,1.686864925432019e-05,2.491721897968091e-05,36.984317779541016,2.01025938987732
IBT_2018186N10325_2018070500,2018186N10325,BERYL,2018-07-05 00:00:00,2018-07-05,2018,7,0,,TS,10.100000381469728,322.0,35.0,1007.0,IBTRACS_ERA5,OBS,1,10.100000381469728,322.0,2018186N10325,BERYL,0.0,test,-0.6156614753256582,0.788010753606722,-0.4999999999999997,-0.8660254037844388,-7.540569305419922,1.2020111083984375,218.37106323242188,5.579527351073921e-05,49.5570182800293,-2.7655906677246094,2.1237525939941406,242.33514404296875,0.0005758006591349,58.74958419799805,-0.7976646423339844,4.823532104492188,267.2080383300781,0.004195294342935,85.588134765625,-2.756633758544922,2.9438018798828125,282.228759765625,0.0083164935931563,80.6333999633789,-2.101207733154297,6.522144317626953,290.08447265625,0.0129418242722749,90.93011474609376,2.788199344649911e-05,2.768908962025307e-05,7.608578681945801,-3.192333221435547,3.5230484008789062,3.7670950405299664e-05,3.897364513250068e-05,69.37208557128906,1.1684504747390747
IBT_2018186N10325_2018070506,2018186N10325,BERYL,2018-07-05 06:00:00,2018-07-05,2018,7,6,,TS,10.100000381469728,320.5,35.0,1007.0,IBTRACS_ERA5,OBS,1,10.100000381469728,320.5,2018186N10325,BERYL,0.0,test,-0.636078220277764,0.77162458338772,-0.4999999999999997,-0.8660254037844388,-8.415569305419922,2.468612670898437,218.35372924804688,5.950985359959304e-05,52.96710586547852,-8.13155746459961,1.6896705627441406,242.21929931640625,0.0005465385038405,56.38249206542969,-1.6921958923339844,0.5085906982421875,267.4198303222656,0.0035772689152508,71.80838775634766,-2.919475555419922,1.7628936767578125,281.770263671875,0.0088971620425581,88.99451446533203,-2.840465545654297,0.9625740051269532,289.439208984375,0.0129844415932893,95.08405303955078,3.7670950405299664e-05,3.897364513250068e-05,5.774940013885498,-4.7998528480529785,1.4784682989120483,3.7670950405299664e-05,3.897364513250068e-05,71.9902572631836,1.1684504747390747
IBT_2018186N10325_2018070512,2018186N10325,BERYL,2018-07-05 12:00:00,2018-07-05,2018,7,12,,TS,10.199999809265137,319.1000061035156,40.0,1005.0,IBTRACS_ERA5,OBS,1,10.199999809265137,319.1000061035156,2018186N10325,BERYL,0.0,test,-0.6547407331989542,0.7558535389148455,-0.4999999999999997,-0.8660254037844388,-8.415569305419922,2.468612670898437,218.35372924804688,5.950985359959304e-05,52.96710586547852,-8.13155746459961,1.6896705627441406,242.21929931640625,0.0005465385038405,56.38249206542969,-1.6921958923339844,0.5085906982421875,267.4198303222656,0.0035772689152508,71.80838775634766,-2.919475555419922,1.7628936767578125,281.770263671875,0.0088971620425581,88.99451446533203,-2.840465545654297,0.9625740051269532,289.439208984375,0.0129844415932893,95.08405303955078,3.7670950405299664e-05,3.897364513250068e-05,5.774940013885498,-4.7998528480529785,1.4784682989120483,3.7670950405299664e-05,3.897364513250068e-05,71.9902572631836,1.1684504747390747
IBT_2018186N10325_2018070518,2018186N10325,BERYL,2018-07-05 18:00:00,2018-07-05,2018,7,18,,TS,10.300000190734863,317.70001220703125,45.0,1003.0,IBTRACS_ERA5,OBS,1,10.300000190734863,317.70001220703125,2018186N10325,BERYL,0.0,test,-0.673012355929218,0.7396312383658518,-0.4999999999999997,-0.8660254037844388,-11.495403289794922,1.7972259521484375,218.68978881835935,6.561653572134674e-05,56.08229064941406,-6.064662933349609,0.2211647033691406,241.82855224609372,0.000566390575841,60.65096664428711,-5.371639251708984,-3.2729034423828125,267.6839904785156,0.0032535411883145,64.00762939453125,-4.911663055419922,-0.2495574951171875,281.867919921875,0.0087612038478255,87.05392456054688,-2.528453826904297,0.2233161926269531,289.44189453125,0.0120897162705659,88.51677703857422,2.6160016204812564e-05,2.028316521318629e-05,9.10403060913086,-6.07436466217041,-0.2561508119106293,3.7670950405299664e-05,3.897364513250068e-05,73.41449737548828,2.612626314163208
IBT_2018186N31292_2018070506,2018186N31292,CHRIS,2018-07-05 06:00:00,2018-07-05,2018,7,6,,DS,30.700000762939453,291.5,20.0,1021.0,IBTRACS_ERA5,OBS,1,30.700000762939453,291.5,2018186N31292,CHRIS,0.0,test,-0.9304175679820248,0.3665012267242968,-0.4999999999999997,-0.8660254037844388,-1.070354461669922,0.1329193115234375,216.11898803710935,4.490485298447311e-05,52.52824020385742,-3.0116844177246094,-1.1120872497558594,238.96820068359372,0.0003284749400336,46.41190719604492,-5.432918548583984,2.0144500732421875,265.3176574707031,0.0034694888163357,81.88176727294922,-2.741985321044922,2.9704132080078125,279.762451171875,0.0068604121915996,78.75848388671875,-2.575328826904297,3.325611114501953,288.614013671875,0.0110970009118318,85.70287322998047,3.222447412554175e-05,2.6768515454023145e-05,3.5296216011047363,-2.966454267501831,1.4662612676620483,3.222447412554175e-05,2.8547399779199623e-05,58.89435577392578,0.4991102218627929
