candidate_lat,candidate_lon,experiment,hour,label_tc,lat,lon_cos,lon_sin,model_year,month,month_cos,month_sin,name,pres_hpa,q_200,q_300,q_500,q_700,q_850,rh700_mean_r500,rh_200,rh_300,rh_500,rh_700,rh_850,sample_id,shear_min_r500,sid,source,split,steer_u_850_200,steer_v_850_200,t_200,t_300,t_500,t_700,t_850,time,u_200,u_300,u_500,u_700,u_850,v_200,v_300,v_500,v_700,v_850,wind_kt,wshear_850_200,year,zeta500_max_r500,zeta850_max_r500,zeta_500,zeta_850
27.299999237060547,277.29998779296875,OBS,0,1,27.299999237060547,0.1270643972753725,-0.9918944696614888,,7,-0.8660254037844388,-0.4999999999999997,ANA,1012.0,6.796218804083765e-05,0.0005661244504153,0.0038809920661151,0.0071395984850823,0.012483088299632,63.127689361572266,57.67969512939453,61.45478820800781,78.70314025878906,72.29375457763672,86.56834411621094,IBT_1991181N26282_1991070100,1.0881624221801758,1991181N26282,IBTRACS_ERA5,train,-0.3953422605991363,0.957502007484436,218.74826049804688,241.68605041503903,267.2864074707031,281.5906677246094,290.2888488769531,1991-07-01 00:00:00,1.1529197692871094,-1.2162818908691406,-1.847599029541016,-0.7375869750976562,0.6718368530273438,3.049755096435547,2.715766906738281,-0.2025909423828125,-0.4390754699707031,-0.3363456726074219,20.0,3.420105218887329,1991,2.775213579297997e-05,3.559078322723508e-05,2.2699663531966507e-05,2.837321881088428e-05
28.0,277.29998779296875,OBS,6,1,28.0,0.1270643972753725,-0.9918944696614888,,7,-0.8660254037844388,-0.4999999999999997,ANA,1012.0,6.796218804083765e-05,0.0005661244504153,0.0038809920661151,0.0071395984850823,0.012483088299632,63.127689361572266,57.67969512939453,61.45478820800781,78.70314025878906,72.29375457763672,86.56834411621094,IBT_1991181N26282_1991070106,1.0881624221801758,1991181N26282,IBTRACS_ERA5,train,-0.3953422605991363,0.957502007484436,218.74826049804688,241.68605041503903,267.2864074707031,281.5906677246094,290.2888488769531,1991-07-01 06:00:00,1.1529197692871094,-1.2162818908691406,-1.847599029541016,-0.7375869750976562,0.6718368530273438,3.049755096435547,2.715766906738281,-0.2025909423828125,-0.4390754699707031,-0.3363456726074219,20.0,3.420105218887329,1991,2.775213579297997e-05,3.559078322723508e-05,2.2699663531966507e-05,2.837321881088428e-05
28.700000762939453,277.5,OBS,12,1,28.700000762939453,0.1305261922200512,-0.9914448613738104,,7,-0.8660254037844388,-0.4999999999999997,ANA,1012.0,6.796218804083765e-05,0.0005661244504153,0.0038809920661151,0.0071395984850823,0.012483088299632,63.127689361572266,57.67969512939453,61.45478820800781,78.70314025878906,72.29375457763672,86.56834411621094,IBT_1991181N26282_1991070112,1.0881624221801758,1991181N26282,IBTRACS_ERA5,train,-0.3953422605991363,0.957502007484436,218.74826049804688,241.68605041503903,267.2864074707031,281.5906677246094,290.2888488769531,1991-07-01 12:00:00,1.1529197692871094,-1.2162818908691406,-1.847599029541016,-0.7375869750976562,0.6718368530273438,3.049755096435547,2.715766906738281,-0.2025909423828125,-0.4390754699707031,-0.3363456726074219,20.0,3.420105218887329,1991,2.775213579297997e-05,3.559078322723508e-05,2.2699663531966507e-05,2.837321881088428e-05
29.299999237060547,277.79998779296875,OBS,18,1,29.299999237060547,0.1357153613526135,-0.9907478693860156,,7,-0.8660254037844388,-0.4999999999999997,ANA,1012.0,4.39375544374343e-05,0.0003473698161542,0.0018351668259128,0.0059995553456246,0.0121018569916486,64.55508422851562,37.18190002441406,38.7570686340332,39.541114807128906,57.311973571777344,79.8102798461914,IBT_1991181N26282_1991070118,1.0881624221801758,1991181N26282,IBTRACS_ERA5,train,-0.4724418520927429,-0.5688163638114929,218.7723693847656,241.39991760253903,266.4958190917969,282.4477233886719,291.0777893066406,1991-07-01 18:00:00,7.488491058349609,5.806179046630859,-5.589786529541016,-6.189247131347656,-3.877845764160156,0.0174064636230468,0.4240188598632812,-1.0952911376953125,-1.3672981262207031,-0.8229179382324219,20.0,11.397357940673828,1991,2.775213579297997e-05,3.559078322723508e-05,8.407060704485048e-06,1.935178806888871e-05
5.0,315.0,OBS,0,0,5.0,0.7071067811865474,-0.7071067811865477,,7,-0.8660254037844388,-0.4999999999999997,,,5.312831126502715e-05,0.0003914101980626,0.0033753509633243,0.0074656805954873,0.0119914095848798,65.35437774658203,50.51944351196289,43.659515380859375,71.7578353881836,76.55055236816406,86.57393646240234,NEG_19910701_00714,0.8733347058296204,,IBTRACS_ERA5,train,-6.277031898498535,-2.3704276084899902,217.80813598632807,241.4026031494141,266.6702575683594,281.4067077636719,289.6603088378906,1991-07-01 00:00:00,-5.253452301025391,-5.971408843994141,-7.220890045166016,-7.810829162597656,-5.128578186035156,-3.962574005126953,-4.598442077636719,-1.7205352783203125,-1.6170539855957031,0.0464668273925781,,4.010985374450684,1991,6.26664632363827e-06,1.534751027065795e-05,1.6894505279196892e-06,-2.546962150518084e-06
32.5,325.0,OBS,0,0,32.5,0.8191520442889916,-0.5735764363510465,,7,-0.8660254037844388,-0.4999999999999997,,,3.103966810158454e-05,0.0001935600303113,0.0005620414158329,0.0025833449326455,0.0074918544851243,28.77216339111328,40.52821350097656,42.45883560180664,14.627421379089355,30.850645065307617,62.87460708618164,NEG_19910701_02736,3.130925416946411,,IBTRACS_ERA5,train,2.479315996170044,1.421271562576294,215.23489379882807,234.58448791503903,264.0649108886719,279.1930847167969,287.3346252441406,1991-07-01 00:00:00,5.204555511474609,5.108913421630859,4.511043548583984,-0.1023330688476562,-2.325599670410156,3.692699432373047,3.641792297363281,0.5016326904296875,-0.0333137512207031,-0.6964530944824219,,8.715956687927246,1991,7.372578693320975e-06,1.3436375638775644e-06,-1.548482759972103e-05,-1.5321633327403106e-05
15.0,327.5,OBS,0,0,15.0,0.8433914458128855,-0.5372996083468242,,7,-0.8660254037844388,-0.4999999999999997,,,2.9034064937150102e-05,7.591909525217488e-05,0.0018977219006046,0.0040177009068429,0.0023135817609727,46.61764526367188,27.828025817871094,9.096905708312988,44.8537483215332,34.04804229736328,11.95052433013916,NEG_19910701_03121,1.135251522064209,,IBTRACS_ERA5,train,-7.85754919052124,0.123712919652462,217.74295043945312,240.6594390869141,265.2985534667969,284.2270202636719,294.9757385253906,1991-07-01 00:00:00,-0.5115089416503906,-1.0578346252441406,-10.062198638916016,-15.427528381347656,-12.228675842285156,4.554271697998047,-1.5520553588867188,2.4554901123046875,-1.5960578918457031,-3.243083953857422,,14.074471473693848,1991,2.252749436593149e-05,2.166956983273849e-05,-1.6445439541712403e-05,2.0328216123743914e-06
29.89999961853028,278.3999938964844,OBS,0,1,29.89999961853028,0.1460829231787469,-0.9892723485246884,,7,-0.8660254037844388,-0.4999999999999997,ANA,1012.0,3.570517583284527e-05,0.0003099732857663,0.0015554811106994,0.0062485565431416,0.0111828176304697,63.04732894897461,27.58758544921875,32.479644775390625,31.516674041748047,59.638790130615234,72.54533386230469,IBT_1991181N26282_1991070200,1.280854105949402,1991181N26282,IBTRACS_ERA5,train,1.1377830505371094,-2.609597682952881,219.5316772460937,242.05596923828125,267.29766845703125,282.4605407714844,291.33709716796875,1991-07-02 00:00:00,6.403167724609375,4.4582366943359375,-0.8503875732421875,-3.497844696044922,-0.8242568969726562,-3.004554748535156,-1.8490409851074217,-0.6396102905273438,-4.168514251708984,-3.386268615722656,20.0,7.237497806549072,1991,2.870331627491396e-05,4.901524516753853e-05,1.0444056897540577e-05,2.108113039867021e-05
30.39999961853028,279.0,OBS,6,1,30.39999961853028,0.1564344650402306,-0.9876883405951378,,7,-0.8660254037844388,-0.4999999999999997,ANA,1012.0,6.114192365203053e-05,0.0001890280109364,0.0032116258516907,0.0081586763262748,0.0122876493260264,62.916934967041016,45.6357650756836,19.70965003967285,62.12068939208984,79.10408782958984,84.96798706054688,IBT_1991181N26282_1991070206,1.280854105949402,1991181N26282,IBTRACS_ERA5,train,2.5976951122283936,-0.2542266845703125,219.82183837890625,242.10748291015625,267.90679931640625,282.2286071777344,290.3339233398437,1991-07-02 06:00:00,2.733734130859375,7.7524261474609375,0.5272979736328125,0.5602607727050781,1.4147567749023438,-1.4149551391601562,-3.709636688232422,0.8774795532226562,0.9904212951660156,1.985557556152344,20.0,3.647353649139404,1991,2.870331627491396e-05,4.901524516753853e-05,2.870331627491396e-05,4.901524516753853e-05
30.89999961853028,279.70001220703125,OBS,12,1,30.89999961853028,0.1684895895719688,-0.9857034331916824,,7,-0.8660254037844388,-0.4999999999999997,ANA,1012.0,6.114192365203053e-05,0.0001890280109364,0.0032116258516907,0.0081586763262748,0.0122876493260264,62.916934967041016,45.6357650756836,19.70965003967285,62.12068939208984,79.10408782958984,84.96798706054688,IBT_1991181N26282_1991070212,1.280854105949402,1991181N26282,IBTRACS_ERA5,train,2.5976951122283936,-0.2542266845703125,219.82183837890625,242.10748291015625,267.90679931640625,282.2286071777344,290.3339233398437,1991-07-02 12:00:00,2.733734130859375,7.7524261474609375,0.5272979736328125,0.5602607727050781,1.4147567749023438,-1.4149551391601562,-3.709636688232422,0.8774795532226562,0.9904212951660156,1.985557556152344,20.0,3.647353649139404,1991,2.870331627491396e-05,4.901524516753853e-05,2.870331627491396e-05,4.901524516753853e-05
