experiment,year,preprocessed_file,owz_track_file,included,reason
GGW,91,E:\CESM_coupling_process\Hurricane\surface\cesm_91.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year91.nc,True,GGW year100 excluded globally
GGW,92,E:\CESM_coupling_process\Hurricane\surface\cesm_92.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year92.nc,True,GGW year100 excluded globally
GGW,93,E:\CESM_coupling_process\Hurricane\surface\cesm_93.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year93.nc,True,GGW year100 excluded globally
GGW,94,E:\CESM_coupling_process\Hurricane\surface\cesm_94.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year94.nc,True,GGW year100 excluded globally
GGW,95,E:\CESM_coupling_process\Hurricane\surface\cesm_95.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year95.nc,True,GGW year100 excluded globally
GGW,96,E:\CESM_coupling_process\Hurricane\surface\cesm_96.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year96.nc,True,GGW year100 excluded globally
GGW,97,E:\CESM_coupling_process\Hurricane\surface\cesm_97.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year97.nc,True,GGW year100 excluded globally
GGW,98,E:\CESM_coupling_process\Hurricane\surface\cesm_98.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year98.nc,True,GGW year100 excluded globally
GGW,99,E:\CESM_coupling_process\Hurricane\surface\cesm_99.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year99.nc,True,GGW year100 excluded globally
GGW,101,E:\CESM_coupling_process\Hurricane\surface\cesm_101.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year101.nc,True,GGW year100 excluded globally
GGW,102,E:\CESM_coupling_process\Hurricane\surface\cesm_102.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year102.nc,True,GGW year100 excluded globally
GGW,103,E:\CESM_coupling_process\Hurricane\surface\cesm_103.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year103.nc,True,GGW year100 excluded globally
GGW,104,E:\CESM_coupling_process\Hurricane\surface\cesm_104.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year104.nc,True,GGW year100 excluded globally
GGW,105,E:\CESM_coupling_process\Hurricane\surface\cesm_105.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year105.nc,True,GGW year100 excluded globally
GGW,106,E:\CESM_coupling_process\Hurricane\surface\cesm_106.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year106.nc,True,GGW year100 excluded globally
GGW,107,E:\CESM_coupling_process\Hurricane\surface\cesm_107.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year107.nc,True,GGW year100 excluded globally
GGW,108,E:\CESM_coupling_process\Hurricane\surface\cesm_108.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year108.nc,True,GGW year100 excluded globally
GGW,109,E:\CESM_coupling_process\Hurricane\surface\cesm_109.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year109.nc,True,GGW year100 excluded globally
GGW,110,E:\CESM_coupling_process\Hurricane\surface\cesm_110.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year110.nc,True,GGW year100 excluded globally
GGW,111,E:\CESM_coupling_process\Hurricane\surface\cesm_111.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year111.nc,True,GGW year100 excluded globally
GGW,112,E:\CESM_coupling_process\Hurricane\surface\cesm_112.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year112.nc,True,GGW year100 excluded globally
GGW,113,E:\CESM_coupling_process\Hurricane\surface\cesm_113.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year113.nc,True,GGW year100 excluded globally
GGW,114,E:\CESM_coupling_process\Hurricane\surface\cesm_114.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year114.nc,True,GGW year100 excluded globally
GGW,115,E:\CESM_coupling_process\Hurricane\surface\cesm_115.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year115.nc,True,GGW year100 excluded globally
GGW,116,E:\CESM_coupling_process\Hurricane\surface\cesm_116.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year116.nc,True,GGW year100 excluded globally
GGW,117,E:\CESM_coupling_process\Hurricane\surface\cesm_117.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year117.nc,True,GGW year100 excluded globally
GGW,118,E:\CESM_coupling_process\Hurricane\surface\cesm_118.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year118.nc,True,GGW year100 excluded globally
GGW,119,E:\CESM_coupling_process\Hurricane\surface\cesm_119.nc,E:\CESM_coupling_process\Hurricane\result_onceagain_dynamic_differentarea\surface\systems_all_year119.nc,True,GGW year100 excluded globally
