sample_id,source,experiment,model_year,year,month,hour,lat,candidate_lat,candidate_lon,label_tc,split,lon_sin,lon_cos,month_sin,month_cos,u_200,v_200,t_200,q_200,rh_200,u_300,v_300,t_300,q_300,rh_300,u_500,v_500,t_500,q_500,rh_500,u_700,v_700,t_700,q_700,rh_700,u_850,v_850,t_850,q_850,rh_850,zeta_850,zeta_500,wshear_850_200,steer_u_850_200,steer_v_850_200,zeta850_max_r500,zeta500_max_r500,rh700_mean_r500,shear_min_r500
CESM_CTL_BG_31_1076_56_115,CESM_CTL_BG,CTL,31,2000,9,0,16.105263157894726,16.105263157894726,287.5,0,train,-0.9537169507482268,0.30070579950427345,-1.0,-1.8369701987210297e-16,8.638402938842773,9.849759101867676,218.7158660888672,7.134544284781441e-05,100.15796661376953,0.5902586579322815,6.987719535827637,239.19529724121094,0.000572952616494149,102.11863708496094,-5.5777788162231445,3.0704829692840576,266.7505187988281,0.002787853591144085,59.0177001953125,-7.496957778930664,0.8377289772033691,283.8174743652344,0.006310116499662399,54.92967987060547,-9.001871109008789,-0.36359021067619324,291.5218811035156,0.011202224530279636,71.81961059570312,-1.3384883459366392e-05,-1.839997094066348e-05,20.383615493774414,-2.569589138031006,4.076419830322266,4.995732979296008e-06,-5.328302904672455e-06,52.40797424316406,5.5657453536987305
CESM_CTL_BG_31_1076_64_123,CESM_CTL_BG,CTL,31,2000,9,0,31.263157894736835,31.263157894736835,307.5,0,train,-0.7933533402912352,0.6087614290087205,-1.0,-1.8369701987210297e-16,11.523786544799805,-0.8086753487586975,216.62782287597656,2.383559512963984e-05,43.558101654052734,8.36247444152832,-2.269709587097168,237.8741912841797,0.00011303627252345905,26.016773223876953,4.092864513397217,0.8036068677902222,265.4920654296875,0.0023648578207939863,51.184329986572266,0.37693604826927185,1.1059941053390503,280.6144714355469,0.009256450459361076,99.96771240234375,1.2027461528778076,5.761112213134766,286.93310546875,0.00977021362632513,84.1624526977539,-8.647572826703254e-07,-1.668245022301562e-05,12.23462200164795,5.111761569976807,0.9184657335281372,2.0216950360918418e-05,-7.888013897172641e-06,81.5791244506836,9.235361099243164
CESM_CTL_BG_31_1076_51_126,CESM_CTL_BG,CTL,31,2000,9,0,6.631578947368411,6.631578947368411,315.0,0,train,-0.7071067811865477,0.7071067811865474,-1.0,-1.8369701987210297e-16,20.7629451751709,1.306099534034729,218.19552612304688,2.558619416959118e-05,37.88599395751953,9.061943054199219,-1.9117999076843262,239.65167236328125,0.0002166297781514004,40.015419006347656,-3.5700700283050537,0.7279931306838989,266.0721740722656,0.003434424754232168,69.89456176757812,-8.607397079467773,1.8460503816604614,282.1801452636719,0.007023348473012447,68.35585021972656,-6.0244855880737305,0.7001339197158813,288.89178466796875,0.012508030980825424,94.83002471923828,-1.1321589227009099e-05,7.66276480135275e-06,26.794282913208008,2.324587106704712,0.5336953997612,8.942838576331269e-06,1.582708500791341e-05,63.96841812133789,15.140103340148926
CESM_CTL_BG_31_1076_69_4,CESM_CTL_BG,CTL,31,2000,9,0,40.73684210526315,40.73684210526315,10.0,0,train,0.17364817766693033,0.984807753012208,-1.0,-1.8369701987210297e-16,0.340916246175766,-5.459927558898926,218.3084716796875,1.4314200598164462e-05,21.556991577148438,-1.1424821615219116,0.22929692268371582,227.43417358398438,5.800725193694234e-05,38.153076171875,-2.2175025939941406,-0.255453497171402,255.0475616455078,0.0012278557987883687,75.94486999511719,-3.182856798171997,-2.328399181365967,273.4934387207031,0.0015057333512231708,26.989599227905273,-5.044367790222168,-3.1488022804260254,281.3036804199219,0.00689326087012887,86.90550231933594,3.5846398986905115e-06,1.7709118765196763e-05,5.860254764556885,-2.249258518218994,-2.192656993865967,2.9581162380054593e-05,3.5340046451892704e-05,45.05514144897461,1.6322461366653442
CESM_CTL_BG_31_1076_55_106,CESM_CTL_BG,CTL,31,2000,9,0,14.210526315789465,14.210526315789465,265.0,0,train,-0.9961946980917455,-0.08715574274765825,-1.0,-1.8369701987210297e-16,-7.475734710693359,-3.144775390625,218.68435668945312,6.75300252623856e-05,95.78827667236328,1.8351435661315918,-3.317423105239868,240.46337890625,0.0005739551270380616,87.115478515625,5.086838722229004,2.7099642753601074,268.3887634277344,0.005317632108926773,99.11837768554688,-4.163107395172119,2.9512722492218018,282.214111328125,0.006958142388612032,67.14009857177734,-6.816764831542969,-2.3836820125579834,292.14300537109375,0.012239396572113037,75.43718719482422,-1.247133923243382e-06,-1.858426367107313e-05,1.0067296028137207,-2.306725025177002,-0.6369287371635437,9.724110896058846e-06,4.562794856610708e-05,77.08080291748047,1.0067296028137207
CESM_CTL_BG_31_1076_56_108,CESM_CTL_BG,CTL,31,2000,9,0,16.105263157894726,16.105263157894726,270.0,0,train,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,6.179207801818848,-9.252792358398438,218.36831665039062,7.3767158028204e-05,104.45366668701172,6.271206855773926,-4.3567118644714355,243.12010192871094,0.001017143833450973,120.9842758178711,-0.8034508228302002,5.191810607910156,267.6915283203125,0.004870939534157515,97.27505493164062,-6.8613505363464355,2.5931994915008545,281.9065856933594,0.006854556500911713,67.28619384765625,-6.63401985168457,-1.8160552978515625,290.52716064453125,0.013627399690449238,93.05595397949219,2.196318973801681e-06,3.2247321541944984e-06,14.814988136291504,-0.3696812689304352,-1.5281099081039429,4.5289439185580704e-06,4.562794856610708e-05,65.67032623291016,1.0067296028137207
CESM_CTL_BG_31_1079_62_120,CESM_CTL_BG,CTL,31,2000,9,18,27.473684210526315,27.473684210526315,300.0,0,train,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,11.17084789276123,3.795172929763794,218.29449462890625,6.791693158447742e-05,99.8334732055664,8.010470390319824,4.68524169921875,238.2067413330078,0.00041150677134282887,80.79389953613281,5.654636383056641,3.1229937076568604,266.209228515625,0.003599749645218253,77.77132415771484,1.5231852531433105,0.8715781569480896,280.9808654785156,0.007516439072787762,79.21952056884766,-0.07526539266109467,0.016225269064307213,289.6437683105469,0.009609838016331196,69.32255554199219,1.9437434275459964e-06,-7.93230537965428e-06,11.864042282104492,5.25677490234375,2.498242139816284,2.4820759790600277e-05,1.9750450519495644e-05,78.77033233642578,3.3437271118164062
CESM_CTL_BG_31_1079_52_3,CESM_CTL_BG,CTL,31,2000,9,18,8.526315789473685,8.526315789473685,7.5,0,train,0.13052619222005157,0.9914448613738104,-1.0,-1.8369701987210297e-16,4.822999477386475,0.7211292386054993,219.18344116210938,7.88070319686085e-05,100.48918914794922,-0.6515935063362122,3.40480375289917,243.64622497558594,0.0010378689039498568,116.12146759033203,-7.719239234924316,1.9790732860565186,269.66943359375,0.0059470185078680515,101.09627532958984,-8.240853309631348,-1.776611089706421,279.8885192871094,0.00796559825539589,90.94395446777344,2.7935194969177246,0.35792991518974304,291.6836242675781,0.013325016014277935,84.51546478271484,-5.3402291086968035e-06,4.240457928972319e-05,2.061723232269287,-1.7990334033966064,0.9372649192810059,4.177046139375307e-05,7.22227050573565e-05,80.73412322998047,1.287930965423584
CESM_CTL_BG_31_1079_66_143,CESM_CTL_BG,CTL,31,2000,9,18,35.052631578947356,35.052631578947356,357.5,0,train,-0.043619387365336194,0.9990482215818578,-1.0,-1.8369701987210297e-16,14.117361068725586,-13.440669059753418,212.52752685546875,2.285563459736295e-05,72.27079772949219,9.344461441040039,-11.974384307861328,231.80885314941406,0.00017970631597563624,74.18748474121094,3.112274169921875,-11.346163749694824,260.6617431640625,0.0012333720223978162,45.60532760620117,1.3288564682006836,-6.318288326263428,279.8184509277344,0.0030445288866758347,35.90336990356445,-6.9084882736206055,0.4799295663833618,288.76348876953125,0.007368295919150114,56.446266174316406,-9.403399303664628e-07,-2.001609573198948e-05,25.216449737548828,4.198893070220947,-8.519914627075195,7.668092621315736e-06,3.0909715860616416e-05,42.4038200378418,10.769091606140137
CESM_CTL_BG_31_1079_61_123,CESM_CTL_BG,CTL,31,2000,9,18,25.57894736842104,25.57894736842104,307.5,0,train,-0.7933533402912352,0.6087614290087205,-1.0,-1.8369701987210297e-16,6.949116230010986,-10.288008689880371,216.85626220703125,4.099787474842742e-05,72.59307861328125,3.7510554790496826,-7.6466450691223145,238.40472412109375,0.00043160576024092734,83.2256088256836,-5.621527671813965,-3.4890310764312744,266.84625244140625,0.004513820167630911,95.23004150390625,-3.669625997543335,2.059070110321045,279.2729797363281,0.006071737036108971,72.2978744506836,-4.019833087921143,2.1092312335968018,287.9775390625,0.008375048637390137,67.25543975830078,-5.0561675379867665e-06,-7.36986748961499e-06,16.5532283782959,-0.5221630334854126,-3.4510765075683594,1.002005683403695e-05,3.48874855262693e-05,66.86493682861328,3.3437271118164062
