sample_id,sid,name,time,date,year,month,hour,basin,nature,lat,lon,wind_kt,pres_hpa,source,experiment,label_tc,candidate_lat,candidate_lon,matched_sid,matched_name,label_distance_km,split,lon_sin,lon_cos,month_sin,month_cos,u_200,v_200,t_200,q_200,rh_200,u_300,v_300,t_300,q_300,rh_300,u_500,v_500,t_500,q_500,rh_500,u_700,v_700,t_700,q_700,rh_700,u_850,v_850,t_850,q_850,rh_850,zeta_850,zeta_500,wshear_850_200,steer_u_850_200,steer_v_850_200,zeta850_max_r500,zeta500_max_r500,rh700_mean_r500,shear_min_r500
IBT_2015193N35285_2015071200,2015193N35285,CLAUDETTE,2015-07-12 00:00:00,2015-07-12,2015,7,0,,DS,35.400001525878906,284.6000061035156,25.0,1010.0,IBTRACS_ERA5,OBS,1,35.400001525878906,284.6000061035156,2015193N35285,CLAUDETTE,0.0,val,-0.9677091436299134,0.2520694613297286,-0.4999999999999997,-0.8660254037844388,4.527523040771484,-5.418773651123047,218.52940368652344,5.741976201534271e-05,50.0343017578125,5.486019134521484,-5.550083160400391,239.9697265625,0.0003122952475678,40.00947952270508,5.780590057373047,-5.245643615722656,266.12841796875,0.0020638015121221,45.74386596679688,6.836700439453125,-1.770904541015625,280.9420166015625,0.006927503272891,73.32652282714844,4.734535217285156,-1.3530960083007812,290.1029663085937,0.0115318149328231,80.92749786376953,3.3226358937099576e-05,2.127864718204364e-05,4.070944309234619,5.473073482513428,-3.867700099945069,3.3226358937099576e-05,2.879992098314688e-05,42.98345184326172,0.2505257725715637
IBT_2015193N35285_2015071206,2015193N35285,CLAUDETTE,2015-07-12 06:00:00,2015-07-12,2015,7,6,,DS,35.29999923706055,285.3999938964844,25.0,1010.0,IBTRACS_ERA5,OBS,1,35.29999923706055,285.3999938964844,2015193N35285,CLAUDETTE,0.0,val,-0.9640954325228536,0.2655560147851525,-0.4999999999999997,-0.8660254037844388,4.527523040771484,-5.418773651123047,218.52940368652344,5.741976201534271e-05,50.0343017578125,5.486019134521484,-5.550083160400391,239.9697265625,0.0003122952475678,40.00947952270508,5.780590057373047,-5.245643615722656,266.12841796875,0.0020638015121221,45.74386596679688,6.836700439453125,-1.770904541015625,280.9420166015625,0.006927503272891,73.32652282714844,4.734535217285156,-1.3530960083007812,290.1029663085937,0.0115318149328231,80.92749786376953,3.3226358937099576e-05,2.127864718204364e-05,4.070944309234619,5.473073482513428,-3.867700099945069,3.3226358937099576e-05,2.879992098314688e-05,42.98345184326172,0.2505257725715637
IBT_2015193N35285_2015071212,2015193N35285,CLAUDETTE,2015-07-12 12:00:00,2015-07-12,2015,7,12,,DS,35.20000076293945,286.3999938964844,25.0,1010.0,IBTRACS_ERA5,OBS,1,35.20000076293945,286.3999938964844,2015193N35285,CLAUDETTE,0.0,val,-0.9593140046168834,0.2823413546505686,-0.4999999999999997,-0.8660254037844388,10.893978118896484,4.357105255126953,218.09056091308597,5.285628503770568e-05,48.567325592041016,7.227474212646484,0.1982078552246093,240.624267578125,0.0005323928780853,64.01061248779297,8.851146697998047,-0.7986221313476562,265.853515625,0.0033468808978796,75.7751235961914,8.433868408203125,1.050140380859375,279.3690185546875,0.0065519642084836,77.29489135742188,5.407142639160156,3.4994430541992188,289.34246826171875,0.0109309405088424,80.54593658447266,1.2348694326647092e-05,2.879992098314688e-05,5.553462505340576,8.162721633911133,1.6612548828125,3.3226358937099576e-05,2.879992098314688e-05,45.3990592956543,0.2505257725715637
IBT_2015193N35285_2015071218,2015193N35285,CLAUDETTE,2015-07-12 18:00:00,2015-07-12,2015,7,18,,DS,35.29999923706055,287.20001220703125,25.0,1010.0,IBTRACS_ERA5,OBS,1,35.29999923706055,287.20001220703125,2015193N35285,CLAUDETTE,0.0,val,-0.955278299120868,0.295708253568853,-0.4999999999999997,-0.8660254037844388,10.893978118896484,4.357105255126953,218.09056091308597,5.285628503770568e-05,48.567325592041016,7.227474212646484,0.1982078552246093,240.624267578125,0.0005323928780853,64.01061248779297,8.851146697998047,-0.7986221313476562,265.853515625,0.0033468808978796,75.7751235961914,8.433868408203125,1.050140380859375,279.3690185546875,0.0065519642084836,77.29489135742188,5.407142639160156,3.4994430541992188,289.34246826171875,0.0109309405088424,80.54593658447266,1.2348694326647092e-05,2.879992098314688e-05,5.553462505340576,8.162721633911133,1.6612548828125,3.3226358937099576e-05,2.879992098314688e-05,45.3990592956543,0.2505257725715637
NEG_20150712_04288,,,2015-07-12 00:00:00,2015-07-12,2015,7,0,,BG,50.0,,,,IBTRACS_ERA5,OBS,0,50.0,312.5,,,2614.8516707720432,val,-0.7372773368101242,0.6755902076156601,-0.4999999999999997,-0.8660254037844388,16.020687103271484,4.059253692626953,226.20091247558597,4.532749244390288e-06,1.6232609748840332,14.190120697021484,-2.78787612915039,227.763671875,9.43657651077956e-05,42.653465270996094,6.992992401123047,-4.095741271972656,254.7838287353516,0.0008116867393255,45.075927734375,1.541778564453125,-4.484283447265625,271.3309326171875,0.0011773835867643,24.691381454467773,-2.748130798339844,-1.8062210083007808,272.05975341796875,0.0035230969078838,85.07304382324219,4.760201591125224e-06,2.254415085189976e-05,19.663986206054688,7.199489593505859,-1.822973608970642,4.106893902644515e-05,4.290881042834371e-05,44.964935302734375,8.58244800567627
IBT_2015193N35285_2015071300,2015193N35285,CLAUDETTE,2015-07-13 00:00:00,2015-07-13,2015,7,0,,DS,35.5,287.79998779296875,25.0,1010.0,IBTRACS_ERA5,OBS,1,35.5,287.79998779296875,2015193N35285,CLAUDETTE,0.0,val,-0.9521294578713844,0.3056951021091825,-0.4999999999999997,-0.8660254037844388,6.269863128662109,1.05731201171875,218.16653442382807,5.3836964070796967e-05,49.01527404785156,7.870498657226562,3.203571319580078,240.37576293945312,0.0002807534474413,34.577606201171875,6.836223602294922,1.0226669311523438,265.6552124023437,0.0009721763781271,22.350969314575195,6.804344177246094,1.2902107238769531,280.7831115722656,0.0055610388517379,59.50758361816406,6.258270263671875,0.5010032653808594,289.28826904296875,0.0105975605547428,78.36215209960938,3.4202137612737715e-05,1.4289046703197528e-05,0.5564295053482056,6.807839870452881,1.4149528741836548,3.930224920623005e-05,4.075038668815978e-05,50.787574768066406,0.5564295053482056
IBT_2015193N35285_2015071306,2015193N35285,CLAUDETTE,2015-07-13 06:00:00,2015-07-13,2015,7,6,,TS,36.0,288.8999938964844,30.0,1008.0,IBTRACS_ERA5,OBS,1,36.0,288.8999938964844,2015193N35285,CLAUDETTE,0.0,val,-0.9460853933333108,0.3239173174150386,-0.4999999999999997,-0.8660254037844388,6.438808441162109,3.56365966796875,217.72976684570312,4.794308915734291e-05,46.02532196044922,6.3643951416015625,3.978229522705078,240.87759399414065,0.0004781640309374,56.10076522827149,11.244426727294922,6.075889587402344,265.73150634765625,0.0021054991520941,48.12168502807617,11.274559020996094,6.098072052001953,280.6200256347656,0.0054692476987838,59.18429183959961,10.801727294921877,7.035427093505859,289.51239013671875,0.0104188658297061,75.93859100341797,3.2946409191936255e-05,2.1546049538301304e-05,5.575682163238525,9.224782943725586,5.350255489349365,3.930224920623005e-05,2.1546049538301304e-05,50.44925308227539,0.5564295053482056
IBT_2015193N35285_2015071312,2015193N35285,CLAUDETTE,2015-07-13 12:00:00,2015-07-13,2015,7,12,,TS,36.79999923706055,290.6000061035156,40.0,1005.0,IBTRACS_ERA5,OBS,1,36.79999923706055,290.6000061035156,2015193N35285,CLAUDETTE,0.0,val,-0.9360594982585284,0.3518417481197929,-0.4999999999999997,-0.8660254037844388,13.90389633178711,5.88348388671875,217.74710083007807,5.900580435991287e-05,56.52622985839844,11.767227172851562,5.038043975830078,239.59146118164065,0.0003988898533862,53.02320098876953,3.048625946044922,2.223838806152344,265.85479736328125,0.0012234696187078,27.697242736816406,0.1195297241210937,1.0873298645019531,280.5941467285156,0.0054301470518112,58.86573791503906,-1.613311767578125,1.4643821716308594,288.22576904296875,0.0108790136873722,86.15841674804688,3.930224920623005e-05,1.666442767600529e-05,16.134193420410156,5.445193290710449,3.139415740966797,3.930224920623005e-05,2.1546049538301304e-05,50.30074691772461,0.5564295053482056
IBT_2015193N35285_2015071318,2015193N35285,CLAUDETTE,2015-07-13 18:00:00,2015-07-13,2015,7,18,,TS,37.59999847412109,292.5,45.0,1003.0,IBTRACS_ERA5,OBS,1,37.59999847412109,292.5,2015193N35285,CLAUDETTE,0.0,val,-0.9238795325112866,0.38268343236509,-0.4999999999999997,-0.8660254037844388,16.35213851928711,1.58465576171875,217.18606567382807,5.627470090985298e-05,57.72846603393555,11.064468383789062,4.352863311767578,239.60226440429688,0.0003946467477362,52.40386581420898,3.912273406982422,4.065635681152344,265.8250732421875,0.00274013960734,62.17479705810547,3.6443099975585938,4.564746856689453,279.6263732910156,0.0054606646299362,63.28211975097656,1.074310302734375,6.786769866943359,287.72393798828125,0.0089499093592166,73.22933197021484,2.5149620341835544e-05,1.7565436792210676e-05,16.13920783996582,7.209500312805176,4.270934104919434,3.930224920623005e-05,2.1546049538301304e-05,50.595245361328125,0.5564295053482056
NEG_20150713_01463,,,2015-07-13 00:00:00,2015-07-13,2015,7,0,,BG,22.5,,,,IBTRACS_ERA5,OBS,0,22.5,290.0,,,1461.1526866846466,val,-0.9396926207859084,0.342020143325669,-0.4999999999999997,-0.8660254037844388,10.77230453491211,15.66448974609375,216.9593811035156,4.768278449773789e-05,50.29185104370117,6.0736236572265625,14.881061553955078,238.5589904785156,0.0001948557037394,28.66381454467773,2.074748992919922,11.432090759277344,265.1215209960937,0.0017352947033941,41.58304214477539,-0.1912612915039062,8.191822052001953,280.3146057128906,0.0069834440946578,77.17398071289062,-4.218536376953125,7.466091156005859,289.95379638671875,0.0102354027330875,72.51871490478516,-7.781793101457879e-06,5.471282293001423e-06,17.086223602294922,2.9021759033203125,11.527111053466797,1.1660437849059235e-05,4.6119908802211285e-05,62.44485855102539,0.689589262008667
